xtb_force,mace_r0_force,mace_r1_force
-0.12898009,-0.1336961,-0.13587393
-0.51452206,-0.50379556,-0.51070017
0.00273032,0.0004789231,0.00041006136
0.53722692,0.5275028,0.53582966
-0.63796546,-0.63067275,-0.63087344
0.00369259,-0.00024294654,-0.00019642101
0.53405009,0.5247535,0.5325909
0.63696161,0.6322208,0.6323702
0.00721776,0.00070598646,0.0014123766
-0.11714652,-0.12569048,-0.12796403
0.52067161,0.5109022,0.51726633
0.00906373,0.0042880154,0.006106546
-0.11297311,-0.11586809,-0.11182669
0.46311687,0.4666228,0.46832764
0.01998995,0.0037951889,0.0038400192
-0.14721001,-0.16506433,-0.16650008
0.35194777,0.33135667,0.33995453
0.00921894,0.008417967,0.009289065
0.47397659,0.4781337,0.47913408
0.35516482,0.35585788,0.360657
0.02018436,0.003086079,0.0032490026
0.20940758,0.20634222,0.20644517
-0.45627414,-0.44599143,-0.4537759
0.00102145,0.00078064454,0.0006582965
-0.01105203,5.3058688e-05,-6.090415e-05
0.0343723,0.037220288,0.039291844
0.0057503,0.0001255421,6.245222e-05
0.0198178,0.024399124,0.024405235
0.01034331,0.01346613,0.014842962
0.00520036,-6.17736e-05,-7.7437966e-05
-0.0220179,-0.025458759,-0.02591751
-0.05481295,-0.053415786,-0.051789086
0.00294734,3.724344e-05,-1.21546245e-05
-0.02347853,-0.0259574,-0.02648062
0.05454466,0.05381168,0.05210991
0.00082636,-0.000356499,-0.0007213433
0.0178806,0.024632161,0.024502093
-0.01301469,-0.01504456,-0.016410306
-0.00073201,5.555343e-05,-0.00065151864
-0.01137117,0.0028786203,0.0028232045
-0.03705879,-0.03947,-0.04143409
-0.0015445,0.0008756653,-6.30043e-05
-0.00251607,0.0007357953,0.00091280666
0.0248902,0.029234052,0.031141376
0.00556566,0.00013395834,6.7484456e-05
-0.3003701,-0.29945827,-0.30042544
-0.37686304,-0.37018776,-0.37553683
0.01667461,-0.0012084232,-0.0009776634
-0.35930042,-0.36568463,-0.3661343
0.3745506,0.37370715,0.3788835
0.02017871,0.003085493,0.0032492206
0.12423807,0.1354863,0.13637297
0.32926073,0.30856493,0.31700757
0.00919977,0.008391059,0.00925342
0.13571195,0.13609661,0.13241215
0.49080326,0.49342695,0.49557552
0.01999354,0.0038090665,0.0038551874
0.10748184,0.11504525,0.11686236
0.52146308,0.511751,0.51818615
0.00905583,0.0042817923,0.0060947943
-0.52877009,-0.5192148,-0.52697843
0.65094828,0.6447064,0.64555275
0.00721221,0.0007136925,0.001419629
-0.52602244,-0.5168989,-0.52505106
-0.65437765,-0.64590716,-0.6467031
0.00369834,-0.0002453163,-0.00019845343
0.10540117,0.10841444,0.11107546
-0.52036919,-0.51120204,-0.5177388
0.00273719,0.0004842263,0.00041503835
0.14349238,0.14321129,0.13950984
-0.49570407,-0.49311212,-0.49547625
0.01690681,-0.0008848922,-0.00067507103
0.11147099,0.12164723,0.12332814
-0.33217798,-0.3138903,-0.32250968
0.00137954,0.00058749475,0.00048984616
0.0091909,0.0016376547,0.0016185365
0.03725293,0.04108544,0.042857837
0.00567214,0.000117528914,5.602761e-05
-0.01908475,-0.0246687,-0.024680635
0.01039139,0.013505787,0.014853989
0.00516678,-6.351864e-05,-7.895049e-05
0.0223769,0.025639623,0.026142126
-0.05502801,-0.05390051,-0.05213819
0.00295956,3.8514994e-05,-1.1163688e-05
0.02342746,0.025552332,0.026103685
0.05464665,0.053853393,0.05218507
0.00084311,-0.00035540925,-0.000720154
-0.01790862,-0.024749279,-0.024685016
-0.01289712,-0.014977743,-0.016349798
-0.00071862,4.9214228e-05,-0.0006579538
0.00895412,0.0010729969,0.0010983903
-0.03993863,-0.042566795,-0.04444726
-0.00152101,0.00081942795,-0.00011384689
-0.01565269,-0.022106856,-0.022380522
0.54107376,0.53457516,0.5422446
0.00901736,0.009575314,0.010302045
-0.00236865,0.0039214776,0.0039484263
-0.02784803,-0.032013495,-0.033845678
-0.0018488,0.0013019743,0.0002946018
-0.24588733,-0.24275394,-0.24260926
-0.35368108,-0.34824434,-0.35327712
-0.10587197,-0.09321284,-0.09453094
0.06442414,0.051556215,0.050429046
-0.40798587,-0.39815083,-0.40622482
-0.11393689,-0.1068695,-0.108961694
-0.05554449,-0.05112798,-0.047601536
-0.45162345,-0.45197606,-0.45363417
-0.13202979,-0.12106091,-0.12150949
-0.12915664,-0.13397795,-0.13608234
-0.49498987,-0.48660335,-0.4931201
-0.13679047,-0.13047065,-0.13218892
0.53662129,0.52751404,0.53581375
-0.61603772,-0.6086352,-0.60891193
-0.17065362,-0.16307019,-0.16310537
0.53423902,0.5238478,0.5318228
0.61463039,0.61081,0.6109845
0.15522098,0.1638694,0.16341917
-0.11782491,-0.123674214,-0.12614028
0.50169227,0.49109074,0.49749255
0.12177653,0.124717586,0.1266318
-0.11328278,-0.11621485,-0.11217622
0.44680706,0.4494083,0.45114288
0.10080968,0.12069038,0.120373584
-0.14782611,-0.16457568,-0.16606976
0.33856681,0.319699,0.32808125
0.07629982,0.07532883,0.078754865
0.47377052,0.47814718,0.47914088
0.34347097,0.34237233,0.3470918
0.07273315,0.09252877,0.09286823
0.20943494,0.20633876,0.20643945
-0.43853653,-0.4310821,-0.4384443
-0.1219732,-0.11580739,-0.117692925
